title,"Reference type",Citation,"Concluding Remarks",License,ID,UUID,"Original Publication","Publication Area","Publication Language","Year of Publication",Abstract,"Access Date","Accession Number","Alternate Title",Author,"Date Published",DOI,"ISBN Number","ISSN Number",Issue,Keywords,Label,License,Notes,Number,"Number of Pages","Number of Volumes","Place Published","Short Title",URL,Volume
"Vulnerability assessment and defense technology for smart home cybersecurity considering pricing cyberattacks","Conference Proceedings","Liu, Y., Hu, S., & Ho, T.-Y. (2014). Vulnerability assessment and defense technology for smart home cybersecurity considering pricing cyberattacks. https://doi.org/10.1109/ICCAD.2014.7001350 (Original work published)",,,48,3fc73488-20af-4a48-ad7c-60c700cb8bee,,"Cybersecurity and defense",,2014,"Smart home, which controls the end use of the power grid, has become a critical component in the smart grid infrastructure. In a smart home system, the advanced metering infrastructure (AMI) is used to connect smart meters with the power system and the communication system of a smart grid. The electricity pricing information is transmitted from the utility to the local community, and then broadcast through wired or wireless networks to each smart meter within AMI. In this work, the vulnerability of the above process is assessed. Two closely related pricing cyberattacks which manipulate the guideline electricity prices received at smart meters are considered and they aim at reducing the expense of the cyberattacker and increasing the peak energy usage in the local community. A countermeasure technique which uses support vector regression and impact difference for detecting anomaly pricing is then proposed. These pricing cyberattacks explore the interdependance between the transmitted electricity pricing in the communication system and the energy load in the power system, which are the first such cyber-attacks in the smart home context.",,,,"Yang Liu, Shiyan Hu, Tsung-Yi Ho",2014-11,10.1109/ICCAD.2014.7001350,,,,,,,"Our simulation results demonstrate that the pricing cyberattack can reduce the attacker's bill by 34.3% at the cost of the increase of others' bill by 7.9% on average. In addition, the pricing cyberattack can unbalance the energy load of the local power system as it increases the peak to average ratio by 35.7%. Furthermore, our simulation results show that the proposed countermeasure technique can effectively detect the electricity pricing manipulation.",,,,,,https://ieeexplore.ieee.org/abstract/document/7001350/keywords#keywords,
"Game based Cybersecurity Training for High School Students","Conference Proceedings","Jin, G., Tu, M., Kim, T.-H., Heffron, J., & White, J. (2018). Game based Cybersecurity Training for High School Students. https://doi.org/10.1145/3159450.3159591 (Original work published)",,,49,3924a05c-1eb2-4f2c-a656-c03183d2abc1,,"Cybersecurity and defense",,2018,"Cybersecurity is critical to the national infrastructure, federal and local government, military, industry, and personal privacy. To defend the U.S. against the cyber threats, a significant demand for skilled cybersecurity workforce is predicted in government and industrial sectors. To address this issue, National Security Agency and the National Science Foundation jointly funded GenCyber program to stimulate the K-12 students' interest in the cybersecurity field and raise their awareness of cybersecurity and safe online behavior. Purdue University Northwest has successfully launched four GenCyber summer camps in 2016 and 2017 to 181 high school students, with 51.3% underrepresented minority ratio (Africa American and Hispanics), and about 2:1 male to female ratio. We delivered GenCyber summer camp activities in the format of game based learning and hands-on labs.",,,,"Ge Jin, Manghui Tu, Tae-Hoon Kim, Justin Heffron, Jonathan White",2018-02-21,10.1145/3159450.3159591,,,,,,,"The use of game-based learning in the camp was an excellent platform to teach concepts of cyber security principles. For example, in Cyber Defense Tower Game, students need to protect their servers from the different types of cyber-attack. They need to select the correct type of defense to stop each wave of cyber-attack. As the students advanced through the game, combinations of the different attacks would come faster, making it more difficult for the students to defend their servers. This game was well received by the students, support staffs, instructors, and site visit team. Learning through these activities provided high school students with an immersive, learner-centered experience, which has been proven very effective on cybersecurity awareness training and practical skill acquisition for learners from diverse backgrounds. Further analysis of survey data revealed that the gamification of cybersecurity education to raise students' interests in computer science and cybersecurity was more effective in male high school students than in female students.",,,,,,https://dl.acm.org/doi/abs/10.1145/3159450.3159591,
"The Cybersecurity Dynamics Way of Thinking and Landscape","Conference Proceedings","Xu, S. (2020). The Cybersecurity Dynamics Way of Thinking and Landscape. https://doi.org/10.1145/3411496.3421225 (Original work published)",,,51,cb49a4d5-97bb-45ec-9507-b62be9e51422,,"Cybersecurity and defense",,2020,"The Cybersecurity Dynamics framework offers an approach to systematically understanding, characterizing, quantifying and managing cybersecurity from a holistic perspective. The framework looks into cyberspace through the dynamics lens because environments in cyberspace often evolve with time (e.g., software vulnerabilities, attack capabilities, defense capabilities, and cybersecurity states). The dynamics lens offers a unique viewpoint, which guides the modeling of the various situations which evolve with respect to cybersecurity. This type of evolution is driven by attackers, defenders, and users of related systems and is manifested by their attack/defense/use activities. Since its inception in 2014, there has been significant progress in characterizing and taming various kinds of cybersecurity dynamics. In this paper we discuss the landscape and way-of-thinking that guide the Cybersecurity Dynamics model, including two killer applications and the technical barriers that serve as outstanding open problems for future research.",,,,"Shouhuai Xu",2020-11-09,10.1145/3411496.3421225,,,,,,,"We have described the Cybersecurity Dynamics way of thinking, which highlights a paradigm shift from time-independence to timedependence. The time-dependent nature of cybersecurity leads to the perspective of dynamics. We have described the Cybersecurity Dynamics landscape via a dynamics layer for characterizing cybersecurity and supporting various cybersecurity functions. We hope this paper will inspire many researchers to tackle the range
of outstanding open problems discussed in the paper. We believe that these open problems, especially the technical barriers, are inherent, meaning that they must be tackled regardless of specific approaches.",,,,,,https://dl.acm.org/doi/abs/10.1145/3411496.3421225,
"Cybersecurity in digital epoch: Emerging threats and modern defense techniques","Conference Proceedings","Gupta, I., & Pathak, P. (2022). Cybersecurity in digital epoch: Emerging threats and modern defense techniques. https://doi.org/10.1063/5.0109715 (Original work published 2022)",,,60,548b1720-a1de-4748-af1f-87851d6f1f42,,"Cybersecurity and defense",,2022,"this research paper’s key focus is to address the security threats that arise from current and emerging technology, modern and cutting-edge cybersecurity threat mitigation strategies that need attention and the opportunities that lie in the cyber landscape. The paper will help all those already digitally transformed or shifting their offline business models to digital and connecting people and devices over the internet by providing them with requisite insights into cybersecurity.",,,,"Ishan Gupta, Pankaj Pathak",2022,10.1063/5.0109715,,0094-243X,,,,,"Over the years, developments in the ICT industry have opened doors to countless cybercrimes. Numerous tools and security solutions are available in the market to deter such cyber threats, but even with such comprehensive efforts, e-crime is growing each passing day exponentially. Although technology has revolutionized the way organizations work today, wider utilization of technology leads to more and more security vulnerability possibilities. Enhancing access and improving connectivity to harness Digital Transformation is a priority.",,,,,,https://pubs.aip.org/aip/acp/article-abstract/2519/1/030022/2827829,
"A Vignette-based Method for Improving Cybersecurity Talent Management through Cyber Defense Competition Design","Conference Proceedings","Tobey, D. H. (2015). A Vignette-based Method for Improving Cybersecurity Talent Management through Cyber Defense Competition Design. https://doi.org/10.1145/2751957.2751963 (Original work published)",,,65,7d7a7600-59c3-4a2e-9220-cc766578050d,,"Cybersecurity and defense",,2015,"findings are reported from a four-year study of cybersecurity competency assessment and development achieved through the design of cyber defense competitions",,,,"David H. Tobey",2015-06-04,10.1145/2751957.2751963,,,,,,,"the first year of the study focused on identifying the abilities that should indicate aptitude to perform well in the areas of operational security testing and advanced threat response. A recently developed method for Job Performance Modeling (JPM) is applied which uses vignettes -- critical incident stories -- to guide the elicitation of a holistic description of mission-critical roles grounded in the latest tactics, techniques and protocols defining the current state-of-the-art, or ground truth, in cyber defense. Implications are drawn for design of scoring engines and achievement of game balance in cyber defense competitions as a talent management system.",,,,,,https://dl.acm.org/doi/abs/10.1145/2751957.2751963,
"Cyber defense matrix: a new model for optimal composition of cybersecurity controls to construct resilient risk mitigation","Conference Proceedings","Dutta, A., & Al-Shaer, E. (2019). Cyber defense matrix: a new model for optimal composition of cybersecurity controls to construct resilient risk mitigation. https://doi.org/10.1145/3314058.3317725 (Original work published)",,,66,6e3dd30e-e549-4a19-973d-0fd01d4fcb6b,,"Cybersecurity and defense",,2019,"The objective of this research is to develop a novel and an automated approach to compose the optimal and resilient risk mitigation planning by selecting the most critical security controls (CSC) considering affordable residual risk (risk appetite), budget, resiliency, and enterprise-oriented usability constraints.",,,,"Ashutosh Dutta, Ehab Al-Shaer",2019-04,10.1145/3314058.3317725,,,,,,,"We developed a model named ""Cyber Defense Matrix (CDM)"" that resemblances the deployed cyber defense strategy. The structure of CDM incorporating three dimensions: Security Function (what), Enforcement Level (where), and Kill Chain Phase (why) enables the composition of multi-layer and multi-stage resilient defense configuration. Our approach leverages CDM to determine which security controls are needed for ""what"" security function (Identify, Protect, Detect, Respond, and Recover), ""where"" each security control should be enforced in the cyber systems (Network, Device, People, Application, and Data), and ""why"" they are effective (i.e., against what attack and wherein the kill chain). We formulate the approach to compute the resilient cybersecurity planning as CDM using SMT constraints",,,,,,https://dl.acm.org/doi/abs/10.1145/3314058.3317725,
"NetDefense: A Tower Defense Cybersecurity Game for Middle and High School Students","Conference Proceedings","Toledo, W., Louis, S. J., & Sengupta, S. (2022). NetDefense: A Tower Defense Cybersecurity Game for Middle and High School Students. https://doi.org/10.1109/FIE56618.2022.9962410 (Original work published)",,,75,be09f4c3-9869-4d86-b83b-7dc21d2725e6,,"Cybersecurity and defense",,2022,"This Innovate Practice Full Paper presents a new game for cybersecurity learning. Cybersecurity education is critical to personal media consumption, privacy protection, and national infrastructure. We live in a world that is increasingly connected; the majority of people, particularly young people, engage with technology and social media for multiple hours per day, using the internet as a source of news, entertainment, and connection to the outside world. However, threats on the internet, including misinformation, disinformation, phishing, and multiple other cybersecurity threats grow each year. Because of this, cybersecurity is an essential skill for K-12 and all undergraduate students to learn in public schools. In this study, we asked K-12 teachers to analyze a specific game, NetDefense, designed to teach students basic cybersecurity concepts related to networking.",,,,"William Toledo, Sushil J Louis, Shamik Sengupta",2022-10-08,10.1109/FIE56618.2022.9962410,,,,,,,"NetDefense specifically addresses concepts within the network communications component of the core theme of computing systems from the K-12 cybersecurity standards released by cyber.org. Before and after engaging with the game, we asked teachers a series of survey questions to determine their perceptions of the game and its utility in classrooms. Findings indicate that NetDefense improved teachers’ knowledge of network concepts. Participating teachers believed that NetDefense would help students learn these concepts and that NetDefense is an appropriate tool for this type of learning. Finally, teachers believed that student motivation to learn about and use cybersecurity concepts would increase upon playing the game. We plan to improve the game using feedback from our participants, disseminate the open source, publicly available game to all interested educators for classroom and laboratory use, and gather more data on game effectiveness.",,,,,,https://ieeexplore.ieee.org/abstract/document/9962410,
"How the Civilian Sector in Sweden Perceive Threats from Offensive Cyberspace Operations","Conference Proceedings","How the Civilian Sector in Sweden Perceive Threats from Offensive Cyberspace Operations. (2021). https://doi.org/10.34190/EWS.21.106 (Original work published 2021)",,,96,981d8515-c32f-4386-b657-699c49308d5a,,"Civilian cybersecurity",,2021,"This research seeks to provide new a better understanding of OCO and their impact on civilian organizations. To highlight this domain, the case of the threat actor Advanced Persistent Threat 1 (APT1) is presented, and its impact on three civilian organizations discussed. Semi-structured interviews were used to research how the threats from OCO and state-sponsored actors are perceived by civilian organizations. First, a computational literature review was used to get an overview of related work and establish question themes. Next, the question themes were used to develop questions for the interview guide, followed by separate interviews with five security professionals working in civilian organizations. The interviews were analysed using thematic coding and the identified themes summarized as the result of this research.",,,,,2021,10.34190/EWS.21.106,,,,,,,"The results show that all respondents are aware of the threat from OCO, but they perceive it in different ways. While all respondents acknowledge state-sponsored actors at a threat agent executing OCO, some respondent’s argue that state-sponsored actors are actively seeking footholds in systems for future use while others state that the main goal of state-sponsored actors is to steal information. This suggests that the understanding of the threat imposed by OCO is limited, or at least inconsistent, among civilian security experts. As an interview study, the generalisability of this research is limited. However, it does demonstrate that the civilian society does not share a common view of the threat from state-sponsored actors and OCO. As such, it demonstrates a need for future research in this domain and can serve as a starting point for such projects.",,,,,,https://www.diva-portal.org/smash/record.jsf?pid=diva2%3A1806937&dswid=2443,
"Pressing pause: A new approach for international cybersecurity norm development","Conference Proceedings","Sabbah, C. (2018). Pressing pause: A new approach for international cybersecurity norm development. https://doi.org/10.23919/CYCON.2018.8405021 (Original work published)",,,98,50fd74a5-9887-4986-a0b0-efc5ec37e725,,"Civilian cybersecurity",,2018,"Over the last few years, the international community has devoted much attention to the topic of ""international cyber norms"". However, there appears to be a fundamental tension between these norm-development efforts and their real-world application as effective tools to reduce cyber risk and deter or prevent malicious state and non-state actors. Furthermore, in the current geopolitical climate, a broad agreement on global cyber norms seems improbable, as suggested by the lack of consensus in the course of the UN GGE 2017 process. In the meantime, government officials tasked with developing and deploying cybersecurity policy and law face day-to-day challenges and are operating on a different track. Questions continuously arise with respect to the role of the state in formulating cybersecurity standards, information sharing, active defense and privacy protection. These questions are dealt with mostly in the ""civilian"" cybersecurity sphere and are occurring largely under the radar of the global ""international cyber norms"" community. Against this backdrop, the paper suggests a shift in the approach to cyber norms. Its central thesis is that, at this juncture, rather than attempting to create a set of pre-defined aspirational norms aimed at achieving global stability, the international community should pay greater attention to discussions that are already occurring between cybersecurity regulators/authorities and should proactively support such discussions.",,,,"Cedric Sabbah",2018-05,10.23919/CYCON.2018.8405021,,,,,,,"Incremental and ""bottom-up"" processes, covering technical, policy and legal challenges at the domestic level, create fertile grounds for discussions that can be scaled up. This civilian, bottom-up approach is admittedly more mundane than the “aspirational cyber norms” track. Both tracks can and should continue to coexist in parallel, though the “civilian” track is more likely to result in a common taxonomy, legal/policy interoperability or common understandings that states can readily endorse, all of which could potentially ultimately lead to norms that enhance cybersecurity more pragmatically.",,,,,,https://ieeexplore.ieee.org/abstract/document/8405021,
"Veterans and Their Inherent Cybersecurity Preparedness: Myth or Reality?","Conference Proceedings","Dupuis, M. J., & Weiss, M. (2019). Veterans and Their Inherent Cybersecurity Preparedness: Myth or Reality? https://doi.org/10.1109/SmartWorld-UIC-ATC-SCALCOM-IOP-SCI.2019.00324 (Original work published)",,,113,f8ab4a87-7bd5-4dd8-8e05-0647de5552c0,,"Civilian cybersecurity",,2019,"The purpose of the research is to examine this preconceived notion through four overarching research questions: 1. Do combat veterans make better cybersecurity professionals? 2. How much does their experience with risk and threat assessment come into play? 3. Do veterans make better cybersecurity professionals for other reasons? 4. Or is the notion that vets make better cybersecurity professions flawed because the required skills are so technical in nature? As a precursor to a comprehensive study, a large-scale survey was conducted to see what differences, if any, there are between individuals with combat experience and those that do not have such experience.",,,,"Marc J. Dupuis, Maximilian Weiss",2019-08,10.1109/SmartWorld-UIC-ATC-SCALCOM-IOP-SCI.2019.00324,,,,,,,"These results are discussed. Future research will employ a mixed methods design consisting of a general survey (phase I) followed by interviews with Chief Information Security Officers (CISOs) (phase II), and finally interviews with Veterans and non-veterans (phase III). The phased approach will allow us to make the most efficient use of our time by using the information learned in one phase to help inform subsequent phases. This will result in a richer set of data and more meaningful results.",,,,,,https://ieeexplore.ieee.org/abstract/document/9060332,
"A review on cybersecurity vulnerabilities for unmanned aerial vehicles","Conference Proceedings","Krishna, C. G. L., & Murphy, R. R. (2017). A review on cybersecurity vulnerabilities for unmanned aerial vehicles. https://doi.org/10.1109/SSRR.2017.8088163 (Original work published)",,,127,bedcbb1b-1026-4660-8d84-1f99836118c0,,"Civilian cybersecurity",,2017,"This paper surveys the scientific and trade literature on cybersecurity for unmanned aerial vehicles (UAV), concentrating on actual and simulated attacks, and the implications for small UAVs. The review is motivated by the increasing use of small UAVs for inspecting critical infrastructures such as the electric utility transmission and distribution grid, which could be a target for terrorism. The paper presents a modified taxonomy to organize cyber attacks on UAVs and exploiting threats by Attack Vector and Target. It shows that, by Attack Vector, there has been one physical attack and ten remote attacks. By Target, there have been six attacks on GPS (two jamming, four spoofing), two attacks on the control communications stream (a deauthentication attack and a zero-day vulnerabilities attack), and two attacks on data communications stream (two intercepting the data feed, zero executing a video replay attack). The paper also divides and discusses the findings by large or small UAVs, over or under 25 kg, but concentrates on small UAVs.",,,,"C. G. Leela Krishna, Robin R. Murphy",2017-10,10.1109/SSRR.2017.8088163,,,,,,,"The survey concludes that UAV-related research to counter cybersecurity threats focuses on GPS Jamming and Spoofing, but ignores attacks on the controls and data communications stream. The gap in research on attacks on the data communications stream is concerning, as an operator can see a UAV flying off course due to a control stream attack but has no way of detecting a video replay attack (substitution of a video feed).",,,,,,https://ieeexplore.ieee.org/abstract/document/8088163,
